Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,Own,FC Proj,My Proj,Exp.,Used,Con.,Value
Deni Avdija,,,SF/PF,WAS,vs CLE,2nd,116.75,3000,0,17.6,16.1,1.2,0.69,24.87,9.40,8.79,0,11.6,5.8,23.3,0.00,0%,0.00,0.00,100,,45,0
Thomas Bryant,,,C,WAS,vs CLE,2nd,116.75,3000,0,24.3,26.6,1.5,0.98,35.24,15.33,12.16,0,15.7,9.1,27.2,0.00,0%,0.00,0.00,100,,54,0
Dylan Windler,,,SF,CLE,@ WAS,8th,109.75,3000,0,16.1,13.1,1.1,0.79,28.29,11.95,8.06,0,15.4,4.2,16.6,0.00,0%,0.00,0.00,100,,38,0
Sam Merrill,,,PG/SG,MIL,@ ATL,21st,116.25,3000,0,15.1,6.1,0.7,0.82,29.80,30.43,7.54,0,14.8,2.3,7.4,0.00,0.1%,0.00,0.00,100,,0,0
Mamadi Diakite,,,C,MIL,@ ATL,15th,116.25,3000,0,14.4,7.6,0.5,0.92,32.67,16.32,7.18,0,14.3,2.4,8.3,0.00,0%,0.00,0.00,100,,6,0
Tony Snell,,,SG/SF,ATL,vs MIL,30th,110.25,3000,0,14.8,11.8,1.3,0.56,20.14,10.38,7.39,0,9.2,3.7,21.0,0.00,0%,0.00,0.00,100,,37,0
Rodions Kurucs,,,SF/PF,MIL,@ ATL,21st,116.25,3000,0,9,4.6,0.5,0.78,28.23,21.99,4.50,0,19.2,1.5,5.9,0.00,0%,0.00,0.00,100,,2,0
Kris Dunn,,,SG,ATL,vs MIL,26th,110.25,3000,0,0,,,,,,,0,,,,0.00,0%,0.00,0.00,100,,0,0
Justin Jackson,,,PF,MIL,@ ATL,15th,116.25,3000,0,15.6,13.2,1.5,0.80,28.90,15.60,7.78,0,22.6,6.4,16.5,0.00,0%,0.00,0.00,100,,41,0
Axel Toupane,,,SG,MIL,@ ATL,21st,116.25,3000,0,12,4.8,0.5,0.63,22.43,19.64,5.99,0,9.3,1.4,7.6,0.00,0%,0.00,0.00,100,,0,0
Skylar Mays,,,PG/SG,ATL,vs MIL,30th,110.25,3000,0,13.5,7.1,0.8,0.89,31.95,20.41,6.77,0,18.5,2.8,8.0,0.00,0.1%,0.00,0.00,100,,5,0
Bruno Fernando,,,C,ATL,vs MIL,26th,110.25,3000,0,10.9,4.8,0.3,0.72,25.96,19.90,5.47,0,13.3,1.0,6.7,0.00,0.1%,0.00,0.00,100,,0,0
Jonathan Isaac,,,PF,ORL,vs IND,29th,110.25,3000,0,0,,,,,,,0,,,,0.00,0%,0.00,0.00,100,,0,0
Markelle Fultz,,,PG,ORL,vs IND,29th,110.25,3000,0,19.7,26.4,5.4,0.98,35.37,6.74,9.85,0,26.9,13.0,26.9,0.00,0%,0.00,0.00,100,,63,0
Brian Bowen II,,,SF,IND,@ ORL,21st,115.25,3000,0,3,1.1,0.0,0.44,16.20,11.36,1.51,0,8.1,0.7,2.5,0.00,0%,0.00,0.00,100,,0,0
Cassius Stanley,,,SG,IND,@ ORL,22nd,115.25,3000,0,2.8,2.2,0.0,0.85,29.79,29.23,1.40,0,28.3,1.4,2.6,0.00,0.1%,0.00,0.00,100,,36,0
T.J. Warren,,,PF,IND,@ ORL,21st,115.25,3000,0,19.7,22.3,1.3,0.76,27.38,12.42,9.85,0,21.6,12.8,29.3,0.00,0%,0.00,0.00,100,,56,0
Robert Woodard II,,,SG/SF,SAC,@ GSW,26th,112.50,3000,0,5.8,3.3,0.0,1.27,44.38,33.09,2.90,0,24.9,1.3,2.6,0.00,0%,0.00,0.00,100,,12,0
Jahmi'us Ramsey,,,PG/SG,SAC,@ GSW,19th,112.50,3000,0,4.4,3.1,0.2,0.91,32.82,23.97,2.21,0,18.4,1.0,3.4,0.00,0%,0.00,0.00,100,,29,0
Klay Thompson,,,SF,GSW,vs SAC,4th,119.50,3000,0,0,,,,,,,0,,,,0.00,0%,0.00,0.00,100,,0,0
Alen Smailagic,,,PF/C,GSW,vs SAC,7th,119.50,3000,0,9.2,4.5,0.3,0.98,34.78,27.54,4.60,0,13.1,1.6,4.6,0.00,0.1%,0.00,0.00,100,,0,0
Nico Mannion,,,PG,GSW,vs SAC,8th,119.50,3000,0,16.7,10.9,2.3,0.86,30.82,16.77,8.37,0,18.7,4.1,12.7,0.00,0.1%,0.00,0.00,100,,23,0
Eric Paschall,,,PF/C,GSW,vs SAC,7th,119.50,3000,0,14.6,16.1,1.3,0.93,33.27,12.22,7.28,0,23.9,7.5,17.4,0.00,0%,0.00,0.00,100,,55,0
